Journee,Team,Adversaire,H/A,resultat,p.,c.
1.0,SC Bastia,Paris Saint-Germain,H,0 - 1,0,1
1.0,Paris Saint-Germain,SC Bastia,A,0 - 1,1,0
1.0,AS Monaco,EA Guingamp,H,2 - 2,2,2
1.0,EA Guingamp,AS Monaco,A,2 - 2,2,2
1.0,Girondins de Bordeaux,AS Saint-Etienne,H,3 - 2,3,2
1.0,AS Saint-Etienne,Girondins de Bordeaux,A,3 - 2,2,3
1.0,SM Caen,FC Lorient,H,3 - 2,3,2
1.0,FC Lorient,SM Caen,A,3 - 2,2,3
1.0,Dijon FCO,FC Nantes,H,0 - 1,0,1
1.0,FC Nantes,Dijon FCO,A,0 - 1,1,0
1.0,FC Metz,LOSC,H,3 - 2,3,2
1.0,LOSC,FC Metz,A,3 - 2,2,3
1.0,Montpellier Hérault SC,Angers SCO,H,1 - 0,1,0
1.0,Angers SCO,Montpellier Hérault SC,A,1 - 0,0,1
1.0,AS Nancy Lorraine,Olympique Lyonnais,H,0 - 3,0,3
1.0,Olympique Lyonnais,AS Nancy Lorraine,A,0 - 3,3,0
1.0,OGC Nice,Stade Rennais FC,H,1 - 0,1,0
1.0,Stade Rennais FC,OGC Nice,A,1 - 0,0,1
1.0,Olympique de Marseille,Toulouse FC,H,0 - 0,0,0
1.0,Toulouse FC,Olympique de Marseille,A,0 - 0,0,0
2.0,Olympique Lyonnais,SM Caen,H,2 - 0,2,0
2.0,SM Caen,Olympique Lyonnais,A,2 - 0,0,2
2.0,FC Nantes,AS Monaco,H,0 - 1,0,1
2.0,AS Monaco,FC Nantes,A,0 - 1,1,0
2.0,Angers SCO,OGC Nice,H,0 - 1,0,1
2.0,OGC Nice,Angers SCO,A,0 - 1,1,0
2.0,LOSC,Dijon FCO,H,1 - 0,1,0
2.0,Dijon FCO,LOSC,A,1 - 0,0,1
2.0,FC Lorient,SC Bastia,H,0 - 3,0,3
2.0,SC Bastia,FC Lorient,A,0 - 3,3,0
2.0,Stade Rennais FC,AS Nancy Lorraine,H,2 - 0,2,0
2.0,AS Nancy Lorraine,Stade Rennais FC,A,2 - 0,0,2
2.0,Toulouse FC,Girondins de Bordeaux,H,4 - 1,4,1
2.0,Girondins de Bordeaux,Toulouse FC,A,4 - 1,1,4
2.0,EA Guingamp,Olympique de Marseille,H,2 - 1,2,1
2.0,Olympique de Marseille,EA Guingamp,A,2 - 1,1,2
2.0,AS Saint-Etienne,Montpellier Hérault SC,H,3 - 1,3,1
2.0,Montpellier Hérault SC,AS Saint-Etienne,A,3 - 1,1,3
2.0,Paris Saint-Germain,FC Metz,H,3 - 0,3,0
2.0,FC Metz,Paris Saint-Germain,A,3 - 0,0,3
3.0,Olympique de Marseille,FC Lorient,H,2 - 0,2,0
3.0,FC Lorient,Olympique de Marseille,A,2 - 0,0,2
3.0,Dijon FCO,Olympique Lyonnais,H,4 - 2,4,2
3.0,Olympique Lyonnais,Dijon FCO,A,4 - 2,2,4
3.0,SM Caen,SC Bastia,H,2 - 0,2,0
3.0,SC Bastia,SM Caen,A,2 - 0,0,2
3.0,FC Metz,Angers SCO,H,2 - 0,2,0
3.0,Angers SCO,FC Metz,A,2 - 0,0,2
3.0,Montpellier Hérault SC,Stade Rennais FC,H,1 - 1,1,1
3.0,Stade Rennais FC,Montpellier Hérault SC,A,1 - 1,1,1
3.0,AS Nancy Lorraine,EA Guingamp,H,0 - 2,0,2
3.0,EA Guingamp,AS Nancy Lorraine,A,0 - 2,2,0
3.0,OGC Nice,LOSC,H,1 - 1,1,1
3.0,LOSC,OGC Nice,A,1 - 1,1,1
3.0,Girondins de Bordeaux,FC Nantes,H,1 - 0,1,0
3.0,FC Nantes,Girondins de Bordeaux,A,1 - 0,0,1
3.0,AS Saint-Etienne,Toulouse FC,H,0 - 0,0,0
3.0,Toulouse FC,AS Saint-Etienne,A,0 - 0,0,0
3.0,AS Monaco,Paris Saint-Germain,H,3 - 1,3,1
3.0,Paris Saint-Germain,AS Monaco,A,3 - 1,1,3
4.0,Paris Saint-Germain,AS Saint-Etienne,H,1 - 1,1,1
4.0,AS Saint-Etienne,Paris Saint-Germain,A,1 - 1,1,1
4.0,Olympique Lyonnais,Girondins de Bordeaux,H,1 - 3,1,3
4.0,Girondins de Bordeaux,Olympique Lyonnais,A,1 - 3,3,1
4.0,Angers SCO,Dijon FCO,H,3 - 1,3,1
4.0,Dijon FCO,Angers SCO,A,3 - 1,1,3
4.0,SC Bastia,Toulouse FC,H,2 - 1,2,1
4.0,Toulouse FC,SC Bastia,A,2 - 1,1,2
4.0,EA Guingamp,Montpellier Hérault SC,H,1 - 1,1,1
4.0,Montpellier Hérault SC,EA Guingamp,A,1 - 1,1,1
4.0,LOSC,AS Monaco,H,1 - 4,1,4
4.0,AS Monaco,LOSC,A,1 - 4,4,1
4.0,FC Lorient,AS Nancy Lorraine,H,0 - 2,0,2
4.0,AS Nancy Lorraine,FC Lorient,A,0 - 2,2,0
4.0,FC Nantes,FC Metz,H,0 - 3,0,3
4.0,FC Metz,FC Nantes,A,0 - 3,3,0
4.0,Stade Rennais FC,SM Caen,H,2 - 0,2,0
4.0,SM Caen,Stade Rennais FC,A,2 - 0,0,2
4.0,OGC Nice,Olympique de Marseille,H,3 - 2,3,2
4.0,Olympique de Marseille,OGC Nice,A,3 - 2,2,3
5.0,SM Caen,Paris Saint-Germain,H,0 - 6,0,6
5.0,Paris Saint-Germain,SM Caen,A,0 - 6,6,0
5.0,AS Monaco,Stade Rennais FC,H,3 - 0,3,0
5.0,Stade Rennais FC,AS Monaco,A,3 - 0,0,3
5.0,Girondins de Bordeaux,Angers SCO,H,0 - 1,0,1
5.0,Angers SCO,Girondins de Bordeaux,A,0 - 1,1,0
5.0,Dijon FCO,FC Metz,H,0 - 0,0,0
5.0,FC Metz,Dijon FCO,A,0 - 0,0,0
5.0,FC Lorient,LOSC,H,1 - 0,1,0
5.0,LOSC,FC Lorient,A,1 - 0,0,1
5.0,AS Nancy Lorraine,FC Nantes,H,1 - 1,1,1
5.0,FC Nantes,AS Nancy Lorraine,A,1 - 1,1,1
5.0,Toulouse FC,EA Guingamp,H,2 - 1,2,1
5.0,EA Guingamp,Toulouse FC,A,2 - 1,1,2
5.0,Montpellier Hérault SC,OGC Nice,H,1 - 1,1,1
5.0,OGC Nice,Montpellier Hérault SC,A,1 - 1,1,1
