Journee,Team,Adversaire,H/A,Player,Note
1.0,Nancy,Lyon,H,Pedretti,3
1.0,Nancy,Lyon,H,Robic,4
1.0,Nancy,Lyon,H,N'Dy Assembe,5
1.0,Nancy,Lyon,H,Muratori,3
1.0,Nancy,Lyon,H,Junior Dalé,3
1.0,Nancy,Lyon,H,Cuffaut,3
1.0,Nancy,Lyon,H,Koura,4
1.0,Nancy,Lyon,H,Diagne,4
1.0,Nancy,Lyon,H,Lenglet,3
1.0,Nancy,Lyon,H,N'Guessan,3
1.0,Nancy,Lyon,H,Ait Bennasser,4
1.0,Nancy,Lyon,H,Mandanne,3
1.0,Nancy,Lyon,H,Puyo,5
1.0,Nancy,Lyon,H,Badila,4
1.0,Lyon,Nancy,A,Morel,6
1.0,Lyon,Nancy,A,Yanga-Mbiwa,5
1.0,Lyon,Nancy,A,N'Koulou,6
1.0,Lyon,Nancy,A,Rafael,5
1.0,Lyon,Nancy,A,Anthony Lopes,7
1.0,Lyon,Nancy,A,Gonalons,6
1.0,Lyon,Nancy,A,Lacazette,9
1.0,Lyon,Nancy,A,Cornet,4
1.0,Lyon,Nancy,A,Fekir,6
1.0,Lyon,Nancy,A,Tolisso,5
1.0,Lyon,Nancy,A,Darder,5
1.0,Lyon,Nancy,A,Valbuena,5
1.0,Lyon,Nancy,A,Grenier,5
1.0,Lyon,Nancy,A,Ferri,6
1.0,Bordeaux,Saint Etienne,H,Plasil,5
1.0,Bordeaux,Saint Etienne,H,Pallois,6
1.0,Bordeaux,Saint Etienne,H,Poundje,5
1.0,Bordeaux,Saint Etienne,H,Rolan,5
1.0,Bordeaux,Saint Etienne,H,Sabaly,4
1.0,Bordeaux,Saint Etienne,H,Laborde,7
1.0,Bordeaux,Saint Etienne,H,Touré,6
1.0,Bordeaux,Saint Etienne,H,Malcom,7
1.0,Bordeaux,Saint Etienne,H,Prior,3
1.0,Bordeaux,Saint Etienne,H,Vada,6
1.0,Bordeaux,Saint Etienne,H,Guilbert,4
1.0,Bordeaux,Saint Etienne,H,Menez,4
